model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon,trialNum,                  condition,partnerID,partner,val
Listener,5,5,0.9,0.01,1,1,partner1,group1,1
Listener,5,5,0.9,0.01,1,1,partner2,group2,0.5094500000000003
Listener,5,5,0.9,0.01,1,1,partner2,group1,0.4905499999999996
Listener,5,5,0.9,0.01,1,1,partner3,group2,0.48939999999999956
Listener,5,5,0.9,0.01,1,1,partner3,group1,0.5106000000000004
Listener,5,5,0.9,0.01,1,1,partner4,group2,0.5003499999999995
Listener,5,5,0.9,0.01,1,1,partner4,group1,0.49965000000000054
Listener,5,5,0.9,0.01,2,1,partner1,group1,1
Listener,5,5,0.9,0.01,2,1,partner2,group2,0.5059000000000005
Listener,5,5,0.9,0.01,2,1,partner2,group1,0.49409999999999954
Listener,5,5,0.9,0.01,2,1,partner3,group2,0.49209999999999987
Listener,5,5,0.9,0.01,2,1,partner3,group1,0.5079000000000002
Listener,5,5,0.9,0.01,2,1,partner4,group1,0.49344999999999994
Listener,5,5,0.9,0.01,2,1,partner4,group2,0.5065500000000001
Listener,5,5,0.9,0.01,3,1,partner1,group1,1
Listener,5,5,0.9,0.01,3,1,partner2,group2,0.5118000000000006
Listener,5,5,0.9,0.01,3,1,partner2,group1,0.4881999999999993
Listener,5,5,0.9,0.01,3,1,partner3,group1,0.5014
Listener,5,5,0.9,0.01,3,1,partner3,group2,0.4986000000000001
Listener,5,5,0.9,0.01,3,1,partner4,group1,0.5021500000000001
Listener,5,5,0.9,0.01,3,1,partner4,group2,0.49784999999999985
Listener,5,5,0.9,0.01,4,1,partner1,group1,1
Listener,5,5,0.9,0.01,4,1,partner2,group1,0.4963
Listener,5,5,0.9,0.01,4,1,partner2,group2,0.5037000000000001
Listener,5,5,0.9,0.01,4,1,partner3,group1,0.49384999999999957
Listener,5,5,0.9,0.01,4,1,partner3,group2,0.5061500000000003
Listener,5,5,0.9,0.01,4,1,partner4,group1,0.49529999999999924
Listener,5,5,0.9,0.01,4,1,partner4,group2,0.5047000000000008
Listener,5,5,0.9,0.01,5,1,partner1,group1,1
Listener,5,5,0.9,0.01,5,1,partner2,group2,0.5012000000000005
Listener,5,5,0.9,0.01,5,1,partner2,group1,0.4987999999999995
Listener,5,5,0.9,0.01,5,1,partner3,group2,0.49740000000000006
Listener,5,5,0.9,0.01,5,1,partner3,group1,0.5025999999999999
Listener,5,5,0.9,0.01,5,1,partner4,group1,0.49604999999999966
Listener,5,5,0.9,0.01,5,1,partner4,group2,0.5039500000000003
Listener,5,5,0.9,0.01,6,1,partner1,group1,1
Listener,5,5,0.9,0.01,6,1,partner2,group1,0.49324999999999986
Listener,5,5,0.9,0.01,6,1,partner2,group2,0.5067500000000001
Listener,5,5,0.9,0.01,6,1,partner3,group2,0.49079999999999957
Listener,5,5,0.9,0.01,6,1,partner3,group1,0.5092000000000004
Listener,5,5,0.9,0.01,6,1,partner4,group1,0.49344999999999983
Listener,5,5,0.9,0.01,6,1,partner4,group2,0.5065500000000002
Listener,5,5,0.9,0.01,7,2,partner1,group1,1
Listener,5,5,0.9,0.01,7,2,partner2,group2,0.4962000000000004
Listener,5,5,0.9,0.01,7,2,partner2,group1,0.5037999999999996
Listener,5,5,0.9,0.01,7,2,partner3,group2,0.5124500000000005
Listener,5,5,0.9,0.01,7,2,partner3,group1,0.4875499999999995
Listener,5,5,0.9,0.01,7,2,partner4,group1,0.5117500000000008
Listener,5,5,0.9,0.01,7,2,partner4,group2,0.48824999999999924
Listener,5,5,0.9,0.01,8,2,partner1,group1,1
Listener,5,5,0.9,0.01,8,2,partner2,group1,0.49819999999999987
Listener,5,5,0.9,0.01,8,2,partner2,group2,0.5018000000000001
Listener,5,5,0.9,0.01,8,2,partner3,group2,0.5020999999999997
Listener,5,5,0.9,0.01,8,2,partner3,group1,0.49790000000000034
Listener,5,5,0.9,0.01,8,2,partner4,group2,0.50545
Listener,5,5,0.9,0.01,8,2,partner4,group1,0.49454999999999993
Listener,5,5,0.9,0.01,9,2,partner1,group1,1
Listener,5,5,0.9,0.01,9,2,partner2,group2,0.5190500000000003
Listener,5,5,0.9,0.01,9,2,partner2,group1,0.48094999999999966
Listener,5,5,0.9,0.01,9,2,partner3,group2,0.49705000000000055
Listener,5,5,0.9,0.01,9,2,partner3,group1,0.5029499999999996
Listener,5,5,0.9,0.01,9,2,partner4,group2,0.5014999999999997
Listener,5,5,0.9,0.01,9,2,partner4,group1,0.49850000000000017
Listener,5,5,0.9,0.01,10,2,partner1,group1,1
Listener,5,5,0.9,0.01,10,2,partner2,group2,0.5133999999999996
Listener,5,5,0.9,0.01,10,2,partner2,group1,0.4866000000000003
Listener,5,5,0.9,0.01,10,2,partner3,group2,0.49505000000000005
Listener,5,5,0.9,0.01,10,2,partner3,group1,0.50495
Listener,5,5,0.9,0.01,10,2,partner4,group2,0.5095499999999997
Listener,5,5,0.9,0.01,10,2,partner4,group1,0.4904500000000003
Listener,5,5,0.9,0.01,11,2,partner1,group1,1
Listener,5,5,0.9,0.01,11,2,partner2,group1,0.47749999999999965
Listener,5,5,0.9,0.01,11,2,partner2,group2,0.5225000000000004
Listener,5,5,0.9,0.01,11,2,partner3,group1,0.5019999999999997
Listener,5,5,0.9,0.01,11,2,partner3,group2,0.49800000000000044
Listener,5,5,0.9,0.01,11,2,partner4,group2,0.5087999999999998
Listener,5,5,0.9,0.01,11,2,partner4,group1,0.49120000000000014
Listener,5,5,0.9,0.01,12,2,partner1,group1,1
Listener,5,5,0.9,0.01,12,2,partner2,group2,0.5251000000000003
Listener,5,5,0.9,0.01,12,2,partner2,group1,0.4748999999999996
Listener,5,5,0.9,0.01,12,2,partner3,group1,0.4851499999999998
Listener,5,5,0.9,0.01,12,2,partner3,group2,0.5148500000000003
Listener,5,5,0.9,0.01,12,2,partner4,group1,0.4955499999999998
Listener,5,5,0.9,0.01,12,2,partner4,group2,0.5044500000000002
Listener,5,5,0.9,0.01,13,3,partner1,group1,1
Listener,5,5,0.9,0.01,13,3,partner2,group2,0.5176000000000007
Listener,5,5,0.9,0.01,13,3,partner2,group1,0.48239999999999933
Listener,5,5,0.9,0.01,13,3,partner3,group2,0.4949499999999999
Listener,5,5,0.9,0.01,13,3,partner3,group1,0.5050500000000001
Listener,5,5,0.9,0.01,13,3,partner4,group2,0.49074999999999963
Listener,5,5,0.9,0.01,13,3,partner4,group1,0.5092500000000004
Listener,5,5,0.9,0.01,14,3,partner1,group1,1
Listener,5,5,0.9,0.01,14,3,partner2,group2,0.5032500000000003
Listener,5,5,0.9,0.01,14,3,partner2,group1,0.4967499999999997
Listener,5,5,0.9,0.01,14,3,partner3,group2,0.4876999999999994
Listener,5,5,0.9,0.01,14,3,partner3,group1,0.5123000000000006
Listener,5,5,0.9,0.01,14,3,partner4,group1,0.4949
Listener,5,5,0.9,0.01,14,3,partner4,group2,0.5051000000000001
Listener,5,5,0.9,0.01,15,3,partner1,group1,1
Listener,5,5,0.9,0.01,15,3,partner2,group2,0.5127499999999994
Listener,5,5,0.9,0.01,15,3,partner2,group1,0.4872500000000006
Listener,5,5,0.9,0.01,15,3,partner3,group2,0.4779500000000002
Listener,5,5,0.9,0.01,15,3,partner3,group1,0.5220499999999997
Listener,5,5,0.9,0.01,15,3,partner4,group2,0.5021499999999994
