model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  speakerID, listenerID, partnerID,partner,val
Speaker,5,5,0.9,0.01,0,1,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,0,1,5,1,partner2,group1,0.5879999999999995
Speaker,5,5,0.9,0.01,0,1,5,1,partner2,group2,0.4120000000000005
Speaker,5,5,0.9,0.01,0,1,5,1,partner3,group1,0.5934999999999997
Speaker,5,5,0.9,0.01,0,1,5,1,partner3,group2,0.4065000000000004
Speaker,5,5,0.9,0.01,0,1,5,1,partner4,group2,0.5353750000000002
Speaker,5,5,0.9,0.01,0,1,5,1,partner4,group1,0.46462499999999984
Speaker,5,5,0.9,0.01,0,2,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,0,2,5,1,partner2,group2,0.4591249999999998
Speaker,5,5,0.9,0.01,0,2,5,1,partner2,group1,0.5408750000000002
Speaker,5,5,0.9,0.01,0,2,5,1,partner3,group1,0.5472499999999997
Speaker,5,5,0.9,0.01,0,2,5,1,partner3,group2,0.45275000000000043
Speaker,5,5,0.9,0.01,0,2,5,1,partner4,group1,0.4907500000000006
Speaker,5,5,0.9,0.01,0,2,5,1,partner4,group2,0.5092499999999995
Speaker,5,5,0.9,0.01,0,3,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,0,3,5,1,partner2,group2,0.5505
Speaker,5,5,0.9,0.01,0,3,5,1,partner2,group1,0.4495
Speaker,5,5,0.9,0.01,0,3,5,1,partner3,group1,0.45437499999999986
Speaker,5,5,0.9,0.01,0,3,5,1,partner3,group2,0.5456250000000001
Speaker,5,5,0.9,0.01,0,3,5,1,partner4,group1,0.4290000000000006
Speaker,5,5,0.9,0.01,0,3,5,1,partner4,group2,0.5709999999999995
Speaker,5,5,0.9,0.01,0,4,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,0,4,5,1,partner2,group2,0.5277500000000004
Speaker,5,5,0.9,0.01,0,4,5,1,partner2,group1,0.4722499999999996
Speaker,5,5,0.9,0.01,0,4,5,1,partner3,group1,0.524999999999999
Speaker,5,5,0.9,0.01,0,4,5,1,partner3,group2,0.47500000000000087
Speaker,5,5,0.9,0.01,0,4,5,1,partner4,group1,0.5284999999999996
Speaker,5,5,0.9,0.01,0,4,5,1,partner4,group2,0.4715000000000005
Speaker,5,5,0.9,0.01,0,5,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,0,5,5,1,partner2,group1,0.4049999999999997
Speaker,5,5,0.9,0.01,0,5,5,1,partner2,group2,0.5950000000000003
Speaker,5,5,0.9,0.01,0,5,5,1,partner3,group1,0.5168750000000005
Speaker,5,5,0.9,0.01,0,5,5,1,partner3,group2,0.48312499999999947
Speaker,5,5,0.9,0.01,0,5,5,1,partner4,group1,0.5825
Speaker,5,5,0.9,0.01,0,5,5,1,partner4,group2,0.4175000000000001
Speaker,5,5,0.9,0.01,0,6,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,0,6,5,1,partner2,group2,0.49674999999999975
Speaker,5,5,0.9,0.01,0,6,5,1,partner2,group1,0.5032500000000002
Speaker,5,5,0.9,0.01,0,6,5,1,partner3,group2,0.4985000000000002
Speaker,5,5,0.9,0.01,0,6,5,1,partner3,group1,0.5014999999999997
Speaker,5,5,0.9,0.01,0,6,5,1,partner4,group1,0.4654999999999999
Speaker,5,5,0.9,0.01,0,6,5,1,partner4,group2,0.5345000000000001
Speaker,5,5,0.9,0.01,0,7,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,0,7,5,2,partner2,group1,0.3907499999999997
Speaker,5,5,0.9,0.01,0,7,5,2,partner2,group2,0.6092500000000002
Speaker,5,5,0.9,0.01,0,7,5,2,partner3,group1,0.49037499999999973
Speaker,5,5,0.9,0.01,0,7,5,2,partner3,group2,0.5096250000000003
Speaker,5,5,0.9,0.01,0,7,5,2,partner4,group2,0.5900000000000005
Speaker,5,5,0.9,0.01,0,7,5,2,partner4,group1,0.40999999999999953
Speaker,5,5,0.9,0.01,0,8,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,0,8,5,2,partner2,group1,0.16587500000000016
Speaker,5,5,0.9,0.01,0,8,5,2,partner2,group2,0.8341249999999998
Speaker,5,5,0.9,0.01,0,8,5,2,partner3,group1,0.5739999999999996
Speaker,5,5,0.9,0.01,0,8,5,2,partner3,group2,0.4260000000000005
Speaker,5,5,0.9,0.01,0,8,5,2,partner4,group2,0.6058750000000006
Speaker,5,5,0.9,0.01,0,8,5,2,partner4,group1,0.39412499999999945
Speaker,5,5,0.9,0.01,0,9,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,0,9,5,2,partner2,group2,0.9401249999999999
Speaker,5,5,0.9,0.01,0,9,5,2,partner2,group1,0.059875000000000136
Speaker,5,5,0.9,0.01,0,9,5,2,partner3,group2,0.3767500000000005
Speaker,5,5,0.9,0.01,0,9,5,2,partner3,group1,0.6232499999999996
Speaker,5,5,0.9,0.01,0,9,5,2,partner4,group1,0.7119999999999996
Speaker,5,5,0.9,0.01,0,9,5,2,partner4,group2,0.28800000000000037
Speaker,5,5,0.9,0.01,0,10,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,0,10,5,2,partner2,group1,0.0022500000000000016
Speaker,5,5,0.9,0.01,0,10,5,2,partner2,group2,0.99775
Speaker,5,5,0.9,0.01,0,10,5,2,partner3,group1,0.6072500000000002
Speaker,5,5,0.9,0.01,0,10,5,2,partner3,group2,0.3927499999999998
Speaker,5,5,0.9,0.01,0,10,5,2,partner4,group1,0.4943750000000004
Speaker,5,5,0.9,0.01,0,10,5,2,partner4,group2,0.5056249999999997
Speaker,5,5,0.9,0.01,0,11,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,0,11,5,2,partner2,group1,0.0007500000000000016
Speaker,5,5,0.9,0.01,0,11,5,2,partner2,group2,0.9992500000000001
Speaker,5,5,0.9,0.01,0,11,5,2,partner3,group1,0.5524999999999998
Speaker,5,5,0.9,0.01,0,11,5,2,partner3,group2,0.4475000000000003
Speaker,5,5,0.9,0.01,0,11,5,2,partner4,group2,0.45450000000000057
Speaker,5,5,0.9,0.01,0,11,5,2,partner4,group1,0.5454999999999994
Speaker,5,5,0.9,0.01,0,12,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,0,12,5,2,partner2,group1,0.013249999999999996
